Stand,Plot ID,Quadrant,Genus Species,DBH 12.5cm or greater measured at 1.37m from base,Crown Vigor Classification 1 vigorous  5 dead,Crown Class (E D C I or O),Emerge holes between 1.25 and 1.75m,Woodpecker damage between 1.25 and 1.75m,Notes
A,KENUPHD,NE,FRAM,14.72,5,,1,1,tiny sprouts from base
A,KENUPHD,NE,FRAM,15.69,3,,0,0,sprouting overhead
A,KENUPHD,NE,FRAM,17.00,5,,1,0,
A,KENUPHD,NE,FRAM,17.20,5,,0,2,emergence holes present but not within range
A,KENUPHD,NE,FRAM,20.90,5,,5,23,dead sprouts at base -  a few dead brown leaves
A,KENUPHD,NE,FRAM,24.50,3,,0,0,
A,KENUPHD,NE,FRAM,27.21,2,,0,1,
A,KENUPHD,NE,FRAM,27.36,2,,0,0,sprouting high on trunk
A,KENUPHD,NE,FRAM,11.70,5,,2,6,no sprouts
A,KENUPHD,NE,Prunus serotina,16.97,,,,,
A,KENUPHD,NE,Prunus serotina,18.00,,,,,
A,KENUPHD,NE,Quercus alba,5.80,,,,,
A,KENUPHD,NE,Quercus bushii,2.69,,,,,
A,KENUPHD,NE,Quercus rubra,27.66,,,,,
A,KENUPHD,NW,FRAM,16.80,4,,5,9,
A,KENUPHD,NW,FRAM,17.00,4,,3,0,basal sprouting
A,KENUPHD,NW,FRAM,18.20,3,,1,0,sprouting
A,KENUPHD,NW,FRAM,20.70,2,,0,0,sprouting
A,KENUPHD,NW,FRAM,25.80,3,,0,7,exit holes present outside of zone
A,KENUPHD,NW,FRAM,27.20,5,,8,18,
A,KENUPHD,NW,FRAM,27.50,3,,1,12,basal sprouting
A,KENUPHD,NW,FRAM,29.70,2,,0,3,basal sprouting
A,KENUPHD,NW,FRAM,34.70,5,,14,55,
A,KENUPHD,NW,FRAM,7.30,5,,0,0,No sign of EAB
A,KENUPHD,NW,FRAM,9.00,5,,2,0,
A,KENUPHD,NW,Prunus serotina,14.00,,,,,
A,KENUPHD,NW,Prunus serotina,14.30,,,,,
A,KENUPHD,NW,Prunus serotina,17.50,,,,,
A,KENUPHD,NW,Prunus serotina,20.70,,,,,
A,KENUPHD,NW,Prunus serotina,23.80,,,,,
A,KENUPHD,NW,Prunus serotina,25.40,,,,,
A,KENUPHD,NW,Prunus serotina,29.00,,,,,
A,KENUPHD,NW,Prunus serotina,39.20,,,,,
A,KENUPHD,SE,FRAM,16.17,5,,0,0,Died prior to EAB invasion?
A,KENUPHD,SE,FRAM,20.87,2,,0,0,sprouting overhead
A,KENUPHD,SE,FRAM,23.39,5,,1,1,
A,KENUPHD,SE,FRAM,6.17,5,,0,0,slight bark splitting
A,KENUPHD,SE,FRAM,9.61,4,,1,0,slight bark splitting
A,KENUPHD,SE,Populus grandidentata,40.21,,,,,
A,KENUPHD,SE,Populus tremuloides,21.51,,,,,
A,KENUPHD,SE,Prunus serotina,20.38,,,,,
A,KENUPHD,SE,Quercus alba,20.63,,,,,
A,KENUPHD,SE,Quercus rubra,12.70,,,,,
A,KENUPHD,SE,Quercus rubra,13.01,,,,,
A,KENUPHD,SE,Quercus rubra,18.11,,,,,
A,KENUPHD,SE,Quercus rubra,18.40,,,,,
A,KENUPHD,SE,Quercus rubra,27.98,,,,,
A,KENUPHD,SE,Quercus rubra,8.45,,,,,
A,KENUPHD,SE,Tilia americana,15.15,,,,,
A,KENUPHD,SE,Tilia americana,25.73,,,,,
A,KENUPHD,SW,FRAM,13.00,5,,0,0,
A,KENUPHD,SW,FRAM,14.40,5,,3,0,sprouts at base
A,KENUPHD,SW,FRAM,23.70,3,,0,4,EAB holes on lower bole -  sprouts on bole & base
A,KENUPHD,SW,FRAM,24.50,3,,0,0,crown poor -  no EAB holes
A,KENUPHD,SW,FRAM,2.90,5,,0,0,
A,KENUPHD,SW,FRAM,6.60,5,,0,0,no sprouts -  other borer holes
A,KENUPHD,SW,FRAM,8.50,5,,0,0,exit holes but not EAB -  no sprouts
A,KENUPHD,SW,FRAM,9.70,5,,0,0,borer holes but not EAB
A,KENUPHD,SW,Populus grandidentata,26.10,,,,,
A,KENUPHD,SW,Prunus serotina,13.90,,,,,
A,KENUPHD,SW,Quercus alba,14.80,,,,,
A,KENUPHD,SW,Quercus alba,23.30,,,,,
A,KENUPHD,SW,Quercus rubra,15.40,,,,,
A,KENUPHD,SW,Quercus rubra,18.50,,,,,
A,KENUPHD,SW,Quercus rubra,25.40,,,,,
A,KENUPHD,SW,Quercus rubra,27.00,,,,,
A,KENUPHD,SW,Quercus rubra,27.80,,,,,
A,KENUPHD,SW,Quercus rubra,29.60,,,,,
A,KENUPHD,SW,Quercus rubra,32.30,,,,,
A,KENUPHD,SW,Tilia americana,13.80,,,,,
A,KENUPHD,SW,Tilia americana,31.70,,,,,
A,KENUPHD2,NE,FRAM,12.80,3,,2,0,sprouts on bole -  crown thin
A,KENUPHD2,NE,FRAM,12.90,5,,7,19,
