"center_tree_number","mstrlvl","plotmstr","Park","Lat","Lon","Transect","Plot_ID","Directions","Center_tree","Date_relocated_2024","Directions_updated_2024","ash_plot_centers_notes_2024","Center_tree_updated_2024","Center_tree_2024_species","Center_tree_2024_total_DBH_cm","Center_tree_2024_number_of_stems","seedlings_done_y_n","saplings_done_y_n","trees_done_y_n","number_microplots","mean_percent_cover_seedlings","mean_density_short_seedlings","mean_density_tall_seedlings","mean_density_seedlings","total_number_short_seedlings","total_number_tall_seedlings","total_number_seedlings","number_subplot_quadrants","number_saplings","number_subplot_quadrants_with_black_ash_saplings","number_subplot_quadrants_with_green_white_pumpkin_ash_saplings","number_saplings_with_signs_symptoms","density_saplings_stems_per_m_squared","number_small_trees","number_small_trees_green_white_or_pumpkin","number_small_trees_black","number_small_trees_unknown_species","basal_area_small_trees_in_m_squared","number_living_small_trees","basal_area_living_small_trees_in_m_squared","number_healthy_small_trees","number_declining_small_trees","number_dead_small_trees","density_small_trees_stems_per_ha","basal_area_small_trees_m_squared_per_ha","density_living_small_trees_stems_per_ha","basal_area_living_small_trees_m_squared_per_ha","number_big_trees","number_living_big_trees","basal_area_big_trees_in_m_squared","basal_area_living_big_trees_in_m_squared","density_big_trees_stems_per_ha","basal_area_big_trees_m_squared_per_ha","density_living_big_trees_stems_per_ha","basal_area_living_big_trees_m_squared_per_ha"
1,"xeric",1,"Kensington",42.53254195,-83.6705388,"A","KENUPHD","Aspen trail across from Nature Ctr. Stay right, then right onto Tamarack Tr.  Plot on left side.  Fence uphill on left.","Prunus serotina            22.3 cm.","05_15_2024","","","23.2 cm black cherry","Prunus serotina","23.2",1,"y","y","y",4,8.75,0.369458128078818,1.60098522167488,1.97044334975369,6,26,32,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"xeric",1,"Kensington",42.53296724,-83.67076505,"A","KENUPHD2","Continue N from KENUPHD ","Prunus virginiana (buck rub)  8.6 cm.","05_15_2024","From paired black walnuts: 320 degrees, 18 steps","","11.25 cm choke cherry","Prunus virginiana","11.25",1,"y","y","y",4,0.125,0.061576354679803,0,0.061576354679803,1,0,1,4,8,NA,NA,0,0.0397887218867812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"xeric",1,"Kensington",42.53326356,-83.67093244,"A","KENUPHD3","Continue N & bear slightly toward fence from KENUPHD2 (center tree is NE of fenced area).","Ulmus rubra 35.0 cm. ","05_15_2024","Witness tree: Black walnut 36 cm DBH 110 degrees to the center tree. E of access road - north of a big basswood","","Center tree down - stump remains - PVC placed on S side. ","Missing","fallen",NA,"y","y","y",4,0,0,0,0,0,0,0,4,8,NA,NA,1,0.0397887218867812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"mesic",3,"Hudson Mills",42.37834666,-83.91336117,"AA","HMHD","Near pond.Middle plot.","Ostraya virginiana (two stems)   13.5 + 7.9 cm.","","","","","","",NA,"n","n","n",4,3.375,0,0.554187192118227,0.554187192118227,0,9,9,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"mesic",3,"Hudson Mills",42.3779638,-83.91309216,"AA","HMHD2","S of HMHD.  Adjacent to the pond. 1st plot.","5-stemmed Quercus rubra, 2 alive 35 + 35.3 cm.","07_30_2024","","Tilia - red oak - hickory - musclewood - some unknown (Ostrya or cherry) - the swamp to the West has pricly ash","44.9 + 45.1 cm 2-stem Quercus rubra","Quercus rubra","90",2,"y","y","y",4,1.75,0,0.123152709359606,0.123152709359606,0,2,2,4,2,NA,NA,0,0.0099471804716953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"mesic",3,"Hudson Mills",42.37830402,-83.91382332,"AA","HMHD3","West of HMMAT.  Adjacent to low wet area to SE.  3rd plot.","Prunus serotina  16.5 cm.","","","","","","",NA,"n","n","n",4,5.875,0,0.554187192118227,0.554187192118227,0,9,9,4,4,NA,NA,2,0.0198943609433906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"xeric",1,"Kensington",42.53544514,-83.66722319,"B","KENDRY","Deer run to Marsh shortcut to Chickadee loop (shelter). KENUP on rt. flagged hornbeam on left.  Walk NW   Left side of trail.","Carya ovata 17.2 cm.","05_30_2024","","basswoods - big oaks - hickories - beech - elm (slippery??)","18.6 cm Carya","Carya spp.","18.6",1,"y","y","y",4,4.875,0.677339901477833,0.369458128078818,1.04679802955665,11,6,17,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"xeric",1,"Kensington",42.53563361,-83.66642756,"B","KENDRY2","Deer run to Marsh shortcut to Chickadee loop (shelter).  Past KENDRY.  Turn E into stand.  Right side of trail.","Carya spp.- 2 stemmed 32.4 + 11.9   ","07_31_2024","","Serviceberry - hawthorn - hickory - white oak - red oak - elm","36.7 + 12.8 cm Carya spp - tree tag partly swallowed","Carya spp.","49.5",2,"y","y","y",4,1.75,0.307881773399015,0.246305418719212,0.554187192118227,5,4,9,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"xeric",1,"Kensington",42.53588209,-83.66709668,"B","KENDRY3","Left side of Chickadee trail .  Enter stand at flagged cherry.  NE from KENDRY.","Quercus alba 14.9","07_31_2024","","Red oak - cherry - walnut - hickory - red maple - white oak - beech","16.1 cm Quercus alba","Quercus alba","16.1",1,"y","y","y",4,2,0.246305418719212,0.123152709359606,0.369458128078818,4,2,6,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"xeric",2,"Hudson Mills",42.37515735,-83.91411337,"BB","HMDRY","Take trail to the left toward point #12.  Turn left before shortcut.  Turn left (South) into stand past point # 11 (Life in Layers)","Quercus rubra (on big mound) 31.1 cm.","07_30_2024","","Bigtooth aspen - bitternut (and other Carya (?)) - walnut - some smaller Tilia - an elm - Prunus (choke?)","40.6 cm Quercus (red oak group) - tag missing","Quercus rubra","40.6",1,"y","y","y",4,13.625,0.123152709359606,0.61576354679803,0.738916256157636,2,10,12,4,8,NA,NA,2,0.0397887218867812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
