"Transect","number_of_plots","Park","mstrlvl","mean_plotmstr","number_microplots","mean_percent_cover_seedlings","mean_density_short_seedlings","mean_density_tall_seedlings","mean_density_seedlings","total_number_short_seedlings","total_number_tall_seedlings","total_number_seedlings","number_subplot_quadrants","total_number_saplings","mean_density_saplings_stems_per_m_squared","total_number_saplings_with_signs_symptoms","total_number_small_trees","total_number_small_trees_green_white_or_pumpkin","total_number_small_trees_black","total_number_small_trees_unknown_species","total_number_living_small_trees","mean_density_small_trees_stems_per_ha","mean_density_living_small_trees_stems_per_ha","mean_basal_area_small_trees_m_squared_per_ha","mean_basal_area_living_small_trees_m_squared_per_ha","total_number_big_trees","total_number_living_big_trees","mean_density_living_big_trees_stems_per_ha","mean_basal_area_living_big_trees_m_squared_per_ha"
"A",3,"Kensington","xeric",1,12,2.95833333333333,0.14367816091954,0.533661740558292,0.677339901477833,7,26,33,12,16,0.0265258145911875,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"AA",3,"Hudson Mills","mesic",3,12,3.66666666666667,0,0.410509031198686,0.410509031198686,0,20,20,12,6,0.0099471804716953,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"B",3,"Kensington","xeric",1,12,2.875,0.410509031198686,0.246305418719212,0.656814449917898,20,12,32,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB",3,"Hudson Mills","xeric",1.66666666666667,12,12.5,0.0821018062397373,0.574712643678161,0.656814449917898,4,28,32,12,15,0.0248679511792382,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"C",3,"Kensington","xeric",1,12,10.2083333333333,1.02627257799672,0.738916256157636,1.76518883415435,50,36,86,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CC",3,"Island Lake","mesic",3,12,5.875,0.328407224958949,0.492610837438424,0.821018062397373,16,24,40,12,65,0.107761121776699,1,16,0,16,0,15,265.258145911875,248.679511792382,0.327564989847072,0.30119781154917,0,0,0,0
"D",3,"Kensington","xeric",1,12,1.04166666666667,0.225779967159278,0.123152709359606,0.348932676518883,11,6,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DD",3,"Island Lake","hydric",4,12,2.25,0,0.123152709359606,0.123152709359606,0,6,6,12,39,0.0646566730660194,4,47,20,26,1,43,779.195803616132,712.881267138163,1.11028294584657,1.00547829492321,0,0,0,0
"E",3,"Proud Lake","xeric",1.66666666666667,12,13.8888888888889,0.862068965517242,0.61576354679803,1.47783251231527,42,30,72,12,65,0.107761121776699,13,8,1,5,2,4,132.629072955937,66.3145364779686,0.139374951358392,0.0458593589951659,0,0,0,0
"EE",3,"Highland","xeric",1.66666666666667,12,6.5,0.75944170771757,0.472085385878489,1.23152709359606,37,23,60,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F",3,"Proud Lake","xeric",1.33333333333333,12,4.16666666666667,0.328407224958949,0.472085385878489,0.800492610837439,16,23,39,12,23,0.038130858474832,5,4,3,1,0,3,66.3145364779686,49.7359023584765,0.0488281079590778,0.0363150914927648,0,0,0,0
