"center_tree_number","water","graminoids","skunk_cabbage","ferns","spicebush","ilex","glossy_buckthorn","poison_sumac","other_woody_shrub"
22,38,48,5.125,12.625,23.625,3.875,0,0,9.875
23,0.875,23.625,0.875,0.875,21.125,2,0,0,0
24,13.75,25.5,73,15,13.625,2.625,0.25,0,3.125
37,0,0,95.5,9.25,75.5,6.75,6.875,0.875,3.75
38,1,3.875,75.5,43,63,25.5,9.875,2.875,3.5
39,1,0.5,90.5,28,28,26.125,5.75,5.125,6.5
40,6.375,95.5,25.625,5.75,0.5,0,0.25,2.875,2.25
41,1.75,60.5,68,33,16.125,0,10.5,2.25,14.5
42,3.5,85.5,53,48,28.625,0,0.75,13.125,6.875
43,6.75,83,58,33.625,0.25,2,0,5.875,2.625
44,7.5,88,55.5,24.125,0,0.25,0,6.125,6.5
45,14.25,90.5,21.75,40.5,0,16.125,0.5,23.625,20.625
61,2.25,38,3.75,1.375,0,40.5,26.125,0,4.625
62,4,45.5,8.75,2.875,2.25,22.975,16.125,0,9.75
63,4.875,33,2,2.25,0,10.5,21.125,0,5.75
64,7.25,43,28.625,10.625,46.125,0,2,0,2.875
65,10.875,18.625,2,1.75,43,0,0,0,5.75
66,73,36.125,0.75,3.125,1.75,1.125,1.375,0.25,2.25
70,7.875,48,17.5,15,58,0.875,0,0,2.25
71,18.125,68,10.125,0.25,3.125,9.25,2,0,3.5
72,7.625,55.5,48,1.625,85.5,0,3.125,0,5.75
76,5.75,50.5,40.5,14.25,9.5,0.25,0,0,0.25
77,3.75,78,43,13.875,14.5,0,0,0,2
78,5.125,68,26.75,10.625,4.625,0,0,0,9.75
103,7,80.5,25,55.5,4,1.75,0,0,2.25
104,2.25,73,55.5,7.625,13.125,0,0,0.25,1.375
105,6.125,73,60.5,31.125,9.875,0,0,0,5.875
106,12.375,63,48,3.75,0.75,0,0.25,0,3.5
107,15.5,28.625,38,5.75,0,0,0,0,1.125
108,4.125,75.5,48,18.625,10.125,0,0,0,2
