"","center_tree_number.x","Plot_ID","mstrlvl","Park","Genus.Species","center_tree_04_05_total_DBH_cm","center_tree_04_05_number_stems","dbh_2006_2008","year_2006_2008_data","Center_tree","Center_tree_2024_2025_species","Center_tree_2024_2025_total_DBH_cm","Center_tree_2024_2025_number_of_stems"
"1",22,"ILLOW","hydric","Island Lake","Tilia americana",31.5,1,"Tilia americana: 31.5 cm","2004_2005","Tilia americana  32.9 cm.","Tilia americana","34.1",1
"2",23,"ILLOW2","hydric","Island Lake","Acer saccharinum",51.2,1,"Acer sacharinum: 51.2 cm (just S of record cottonwood)","2004_2005","Acer sacharinum, S of huge cottonwood  54.5 cm.","Acer saccharinum","58.5",1
"3",24,"ILLOW3","hydric","Island Lake","Acer saccharinum",17.8,1,"Acer saccharinum: 17.8 cm","2004_2005","Acer saccharinum, (DBH above scar)    22.0 ","Missing","fallen",NA
"4",37,"PLWET","hydric","Proud Lake",NA,NA,NA,"Acer rubrum (leaning): 5.8 cm: other stem dead","2008","Carpinus  4.1 cm.","Missing","fallen",NA
"5",38,"PLWET2","hydric","Proud Lake","FRNI",14.7,1,"
Acer: 5.8 cm","2008","Acer  6.2 cm.","Acer spp.","6.9",1
"6",39,"PLWET3","hydric","Proud Lake",NA,NA,NA,"Larix: 21.7 cm","2008","Larix   21.3 cm.","Larix spp.","22.9",1
"7",40,"KENWET","hydric","Kensington",NA,NA,NA,"Quercus macrocarpa: (bur) 22 cm","2008","Quercus macrocarpa, (bur) 22.8 cm. ","Quercus macrocarpa","25.8",1
"8",41,"KENWET2","hydric","Kensington",NA,NA,NA,"2-stem Carpinus caroliniana: 6.8 + 8 cm","2008","2-stem Carpinus caroliniana 8.1 + 6.9 cm.","Carpinus caroliniana","7.9",1
"9",42,"KENWET4","hydric","Kensington","FRNI",13.82,1,"Tamarack: 26.3 cm","2006","Tamarack 26.3 cm.         ","Larix laricina","24.1",1
"10",43,"KENWET3","hydric","Kensington",NA,NA,NA,"Carpinus caroliniana: 6 cm","2008","Carpinus 9.0 cm.     New ctr.2.25 m. from orig.","Missing","fallen",NA
"11",44,"KENWET3A","hydric","Kensington","FRAM",19.4,1,"4-stem Carpinus: 8.2 + 8.5 + 11.2 + 7.5 cm","2008","4-stem Basswood .  Orig. ctr. was ash.","Tilia americana","29.6",3
"12",45,"KENWET3B","hydric","Kensington","FRNI",15.9,1,"Acer spp.: 9.2 cm","2006","Acer palmatum (Japanese maple)    9.8 cm.","Acer spp.","10.9",1
"13",61,"ILRIP","hydric","Island Lake","Acer rubrum",10.6,5,"Acer rubrum (5 stems): 3.9 + 2.2 + 1.5 +1.5 + 1.5 cm","2004_2005","Acer saccharinum (5 stems) 6.1 + 3.8 + 2.4 + 2.5 + 2.1 + 5.0 cm. ","Acer saccharinum","13",4
"14",62,"ILRIP2","hydric","Island Lake","FRPE",23.3,1,"Acer rubra: 10 cm: 2-stemmed","2006","Acer rubrum,  (2-stemmed) 12.2 + 7.9 cm.","Acer spp.","26",2
"15",63,"ILRIP3","hydric","Island Lake","FRPE",22.1,1,"Quercus spp.: 11.7 cm","2006","Acer saccharinum         23.1 cm.","Acer spp.","30.2",1
"16",64,"ILCC","hydric","Island Lake",NA,NA,NA,"Quercus: 11.7 cm","2008","Quercus  12.5 cm.                              ","Quercus bicolor","16.8",1
"17",65,"ILCC2","hydric","Island Lake",NA,NA,NA,"Quercus bicolor: 28.3 cm","2004_2005","Quercus bicolor  30.4 cm.","Quercus bicolor","34.5",1
"18",66,"ILCC3","hydric","Island Lake","Acer rubrum",12.3,1,"Acer saccharinum: 12.1 cm","2004_2005","Acer saccharinum  14.7 cm.","Missing","fallen",NA
"19",70,"ISLD","hydric","Indian Springs","Carpinus caroliniana",37.2,6,"Carpinus caroliniana (6 stems: 3 primary): 2.3 + 1.6 + 9.1 + 10.0 + 3.0 + 11.2.","2004_2005","Carpinus caroliniana    (6 stems, 3 primary) 12.1 + 10 + 10.7 + 3.6 + 2.8 + 1.9 cm.","Carpinus caroliniana","23.9",4
"20",71,"ISLD2","hydric","Indian Springs","FRPE",11.4,1,"Acer rubrum: 34.4 cm circumference","2008","Acer saccharinum 13.3 cm.","Acer saccharinum","18.9",1
"21",72,"ISLD3","hydric","Indian Springs","FRNI",15.4,1,"Tamarack: 34.3 cm","2006","Tamarack  34.7 cm.","Larix laricina","38.1",1
"22",76,"ISRIP","hydric","Indian Springs","FRNI",22.5,1,"Acer rubra: 13.3 cm","2006","Acer rubra                     14.5 cm.","Acer spp.","25.7",2
"23",77,"ISRIP2","hydric","Indian Springs","FRPE",12,1,"Acer spp.: 23.4 cm","2006","Acer saccharinum         28.6 cm.","Acer saccharinum","38.2",1
"24",78,"ISRIP3","hydric","Indian Springs","Acer rubrum",16.6,1,"Acer rubrum: 16.6 cm","2004_2005","Acer rubrum 20.5 cm.","Acer spp.","24.6",1
