"","center_tree_number","Park","Transect","mstrlvl","plotmstr","number_saplings","density_saplings","density_saplings_stems_per_ha"
"1",1,"Kensington","A","xeric",1,0,0,0
"2",2,"Kensington","A","xeric",1,8,0.0397887218867812,397.887218867812
"3",3,"Kensington","A","xeric",1,8,0.0397887218867812,397.887218867812
"4",5,"Hudson Mills","AA","mesic",3,2,0.0099471804716953,99.471804716953
"5",7,"Kensington","B","xeric",1,0,0,0
"6",8,"Kensington","B","xeric",1,0,0,0
"7",9,"Kensington","B","xeric",1,0,0,0
"8",10,"Hudson Mills","BB","xeric",2,8,0.0397887218867812,397.887218867812
"9",11,"Hudson Mills","BB","xeric",2,6,0.0298415414150859,298.415414150859
"10",12,"Hudson Mills","BB","xeric",1,1,0.00497359023584765,49.7359023584765
"11",13,"Kensington","C","xeric",1,0,0,0
"12",14,"Kensington","C","xeric",1,0,0,0
"13",15,"Kensington","C","xeric",1,0,0,0
"14",16,"Island Lake","CC","mesic",2,10,0.0497359023584765,497.359023584765
"15",17,"Island Lake","CC","mesic",3,4,0.0198943609433906,198.943609433906
"16",18,"Island Lake","CC","mesic",4,51,0.25365310202823,2536.5310202823
"17",19,"Kensington","D","xeric",1,0,0,0
"18",20,"Kensington","D","xeric",1,0,0,0
"19",21,"Kensington","D","xeric",1,0,0,0
"20",22,"Island Lake","DD","hydric",4,4,0.0198943609433906,198.943609433906
"21",24,"Island Lake","DD","hydric",4,35,0.174075658254668,1740.75658254668
"22",25,"Proud Lake","E","xeric",3,35,0.174075658254668,1740.75658254668
"23",26,"Proud Lake","E","xeric",1,15,0.0746038535377147,746.038535377147
"24",27,"Proud Lake","E","xeric",1,15,0.0746038535377147,746.038535377147
"25",28,"Highland","EE","xeric",3,0,0,0
"26",29,"Highland","EE","xeric",1,0,0,0
"27",30,"Highland","EE","xeric",1,0,0,0
"28",31,"Proud Lake","F","xeric",1,0,0,0
"29",32,"Proud Lake","F","xeric",2,0,0,0
"30",33,"Proud Lake","F","xeric",1,23,0.114392575424496,1143.92575424496
"31",34,"Proud Lake","G","xeric",1,1,0.00497359023584765,49.7359023584765
"32",35,"Proud Lake","G","xeric",1,3,0.0149207707075429,149.207707075429
"33",36,"Proud Lake","G","xeric",1,0,0,0
"34",37,"Proud Lake","H","hydric",5,6,0.0298415414150859,298.415414150859
"35",38,"Proud Lake","H","hydric",5,10,0.0497359023584765,497.359023584765
"36",39,"Proud Lake","H","hydric",5,5,0.0248679511792382,248.679511792382
"37",40,"Kensington","I","hydric",5,0,0,0
"38",41,"Kensington","I","hydric",4,0,0,0
"39",42,"Kensington","I","hydric",5,0,0,0
"40",43,"Kensington","J","hydric",5,0,0,0
"41",44,"Kensington","J","hydric",5,0,0,0
"42",45,"Kensington","J","hydric",5,0,0,0
"43",49,"Pontiac Lake","L","xeric",2,6,0.0298415414150859,298.415414150859
"44",50,"Pontiac Lake","L","xeric",2,3,0.0149207707075429,149.207707075429
"45",51,"Pontiac Lake","L","xeric",2,3,0.0149207707075429,149.207707075429
"46",52,"Pontiac Lake","M","mesic",3,9,0.0447623121226288,447.623121226288
"47",53,"Pontiac Lake","M","mesic",1,88,0.437675940754593,4376.75940754593
"48",54,"Pontiac Lake","M","mesic",3,0,0,0
"49",55,"Pontiac Lake","N","xeric",2,0,0,0
"50",56,"Pontiac Lake","N","xeric",2,0,0,0
"51",57,"Pontiac Lake","N","xeric",2,1,0.00497359023584765,49.7359023584765
"52",58,"Pontiac Lake","O","xeric",1,5,0.0248679511792382,248.679511792382
"53",59,"Pontiac Lake","O","xeric",1,0,0,0
"54",60,"Pontiac Lake","O","xeric",1,27,0.134286936367887,1342.86936367887
"55",62,"Island Lake","P","hydric",4,4,0.0198943609433906,198.943609433906
"56",63,"Island Lake","P","hydric",4,23,0.114392575424496,1143.92575424496
"57",64,"Island Lake","Q","hydric",4,14,0.0696302633018671,696.302633018671
"58",65,"Island Lake","Q","hydric",3,15,0.0746038535377147,746.038535377147
"59",67,"Indian Springs","R","mesic",2,0,0,0
"60",68,"Indian Springs","R","mesic",3,31,0.154181297311277,1541.81297311277
"61",69,"Indian Springs","R","mesic",2,1,0.00497359023584765,49.7359023584765
"62",70,"Indian Springs","S","hydric",3,5,0.0248679511792382,248.679511792382
"63",71,"Indian Springs","S","hydric",4,3,0.0149207707075429,149.207707075429
"64",72,"Indian Springs","S","hydric",4,30,0.149207707075429,1492.07707075429
"65",73,"Indian Springs","T","xeric",2,1,0.00497359023584765,49.7359023584765
"66",74,"Indian Springs","T","xeric",3,0,0,0
"67",75,"Indian Springs","T","xeric",2,0,0,0
"68",76,"Indian Springs","U","hydric",4,0,0,0
"69",77,"Indian Springs","U","hydric",4,5,0.0248679511792382,248.679511792382
"70",78,"Indian Springs","U","hydric",4,20,0.099471804716953,994.71804716953
"71",79,"Indian Springs","V","mesic",3,14,0.0696302633018671,696.302633018671
"72",80,"Indian Springs","V","mesic",2,1,0.00497359023584765,49.7359023584765
"73",81,"Indian Springs","V","mesic",2,0,0,0
"74",82,"Highland","W","xeric",2,0,0,0
"75",83,"Highland","W","xeric",2,0,0,0
"76",84,"Highland","W","xeric",2,0,0,0
"77",85,"Highland","X","mesic",1,0,0,0
"78",86,"Highland","X","mesic",3,0,0,0
"79",87,"Highland","X","mesic",3,0,0,0
"80",88,"Highland","Y","xeric",1,0,0,0
"81",89,"Highland","Y","xeric",1,0,0,0
"82",90,"Highland","Y","xeric",1,0,0,0
"83",91,"Hudson Mills","Z","xeric",2,0,0,0
"84",94,"Pontiac Lake","ZA","xeric",2,38,0.188996428962211,1889.96428962211
"85",95,"Pontiac Lake","ZA","xeric",2,5,0.0248679511792382,248.679511792382
"86",96,"Pontiac Lake","ZA","xeric",2,45,0.223811560613144,2238.11560613144
"87",97,"Pontiac Lake","ZB","mesic",3,13,0.0646566730660194,646.566730660194
"88",98,"Pontiac Lake","ZB","mesic",2,0,0,0
"89",99,"Pontiac Lake","ZB","mesic",2,0,0,0
"90",100,"Pontiac Lake","ZC","xeric",2,3,0.0149207707075429,149.207707075429
"91",101,"Pontiac Lake","ZC","xeric",1,3,0.0149207707075429,149.207707075429
