"","Transect","Park","mstrlvl","mean_plotmstr","mean_density_saplings","mean_density_saplings_stems_per_ha"
"1","A","Kensington","xeric",1,0.0265258145911875,265.258145911875
"2","AA","Hudson Mills","mesic",3,0.0099471804716953,99.471804716953
"3","B","Kensington","xeric",1,0,0
"4","BB","Hudson Mills","xeric",1.66666666666667,0.0248679511792382,248.679511792382
"5","C","Kensington","xeric",1,0,0
"6","CC","Island Lake","mesic",3,0.107761121776699,1077.61121776699
"7","D","Kensington","xeric",1,0,0
"8","DD","Island Lake","hydric",4,0.0969850095990291,969.850095990291
"9","E","Proud Lake","xeric",1.66666666666667,0.107761121776699,1077.61121776699
"10","EE","Highland","xeric",1.66666666666667,0,0
"11","F","Proud Lake","xeric",1.33333333333333,0.038130858474832,381.30858474832
"12","G","Proud Lake","xeric",1,0.00663145364779686,66.3145364779686
"13","H","Proud Lake","hydric",5,0.0348151316509335,348.151316509335
"14","I","Kensington","hydric",4.66666666666667,0,0
"15","J","Kensington","hydric",5,0,0
"16","L","Pontiac Lake","xeric",2,0.0198943609433906,198.943609433906
"17","M","Pontiac Lake","mesic",2.33333333333333,0.160812750959074,1608.12750959074
"18","N","Pontiac Lake","xeric",2,0.00165786341194922,16.5786341194922
"19","O","Pontiac Lake","xeric",1,0.0530516291823749,530.516291823749
"20","P","Island Lake","hydric",4,0.0671434681839433,671.434681839433
"21","Q","Island Lake","hydric",3.5,0.0721170584197909,721.170584197909
"22","R","Indian Springs","mesic",2.33333333333333,0.0530516291823749,530.516291823749
"23","S","Indian Springs","hydric",3.66666666666667,0.0629988096540702,629.988096540702
"24","T","Indian Springs","xeric",2.33333333333333,0.00165786341194922,16.5786341194922
"25","U","Indian Springs","hydric",4,0.0414465852987304,414.465852987304
"26","V","Indian Springs","mesic",2.33333333333333,0.0248679511792382,248.679511792382
"27","W","Highland","xeric",2,0,0
"28","X","Highland","mesic",2.33333333333333,0,0
"29","Y","Highland","xeric",1,0,0
"30","Z","Hudson Mills","xeric",2,0,0
"31","ZA","Pontiac Lake","xeric",2,0.145891980251531,1458.91980251531
"32","ZB","Pontiac Lake","mesic",2.33333333333333,0.0215522243553398,215.522243553398
"33","ZC","Pontiac Lake","xeric",1.66666666666667,0.0149207707075429,149.207707075429
"34","ZF","Indian Springs","mesic",2.33333333333333,0,0
"35","ZG","Kensington","xeric",1,0.538805608883495,5388.05608883495
