"","Transect","Park","mstrlvl","mean_plotmstr","mean_percent_cover","mean_density_short","mean_density_tall","mean_density_seedlings","total_number_short","total_number_tall","total_number_seedlings"
"1","A","Kensington","xeric",1,3.41666666666667,0.222551928783383,0.445103857566766,0.667655786350148,9,18,27
"2","AA","Hudson Mills","mesic",3,1.75,0,0.123152709359606,0.123152709359606,0,2,2
"3","B","Kensington","xeric",1,2.875,0.410509031198686,0.246305418719212,0.656814449917898,20,12,32
"4","BB","Hudson Mills","xeric",1.66666666666667,12.5,0.0821018062397373,0.574712643678161,0.656814449917898,4,28,32
"5","C","Kensington","xeric",1,10.2083333333333,1.02627257799672,0.738916256157636,1.76518883415435,50,36,86
"6","CC","Island Lake","mesic",3,5.875,0.328407224958949,0.492610837438424,0.821018062397373,16,24,40
"7","D","Kensington","xeric",1,1.04166666666667,0.225779967159278,0.123152709359606,0.348932676518883,11,6,17
"8","DD","Island Lake","hydric",4,2.375,0,0.061576354679803,0.061576354679803,0,2,2
"9","E","Proud Lake","xeric",1.66666666666667,13.3636363636364,0.862068965517241,0.61576354679803,1.47783251231527,42,30,72
"10","EE","Highland","xeric",1.66666666666667,6.5,0.75944170771757,0.472085385878489,1.23152709359606,37,23,60
"11","F","Proud Lake","xeric",1.33333333333333,4.16666666666667,0.328407224958949,0.472085385878489,0.800492610837439,16,23,39
"12","G","Proud Lake","xeric",1,4.08333333333333,0.0821018062397373,0.164203612479475,0.246305418719212,4,8,12
"13","H","Proud Lake","hydric",5,0.291666666666667,0,0.0205254515599343,0.0205254515599343,0,1,1
"14","I","Kensington","hydric",4.66666666666667,0,0,0,0,0,0,0
"15","J","Kensington","hydric",5,0.375,0,0.0410509031198686,0.0410509031198686,0,2,2
"16","L","Pontiac Lake","xeric",2,17.7083333333333,3.30545039053174,1.76634605545892,5.07179644599065,142,75,217
"17","M","Pontiac Lake","mesic",2.33333333333333,25.8333333333333,3.32286961648468,1.89077779889199,5.21364741537667,158,87,245
"18","N","Pontiac Lake","xeric",2,31.375,2.70935960591133,2.0320197044335,4.74137931034483,132,99,231
"19","O","Pontiac Lake","xeric",1,26.1363636363636,3.22249589490969,1.62151067323481,4.8440065681445,157,79,236
"20","P","Island Lake","hydric",4,2.4375,0,0.277093596059113,0.277093596059113,0,9,9
"21","Q","Island Lake","hydric",3.5,11.9375,0.461822660098522,0.584975369458128,1.04679802955665,15,19,34
"22","R","Indian Springs","mesic",2.33333333333333,14.1666666666667,0.656814449917898,1.47783251231527,2.13464696223317,32,72,104
"23","S","Indian Springs","hydric",3.66666666666667,11.25,0.944170771756979,1.04679802955665,1.99096880131363,46,51,97
"24","T","Indian Springs","xeric",2.33333333333333,3.375,0.513136288998358,0.225779967159278,0.738916256157636,25,11,36
"25","U","Indian Springs","hydric",4,2.41666666666667,0.0821018062397373,0.184729064039409,0.266830870279146,4,9,13
"26","V","Indian Springs","mesic",2.33333333333333,24.625,2.6888341543514,2.44252873563218,5.13136288998358,131,119,250
"27","W","Highland","xeric",2,0.958333333333333,0.123152709359606,0.102627257799672,0.225779967159278,6,5,11
"28","X","Highland","mesic",2.33333333333333,29.2916666666667,3.55090311986864,1.80623973727422,5.35714285714286,173,88,261
"29","Y","Highland","xeric",1,6.625,0.738916256157636,0.636288998357964,1.3752052545156,36,31,67
"30","Z","Hudson Mills","xeric",2,8.75,0.307881773399015,0.492610837438424,0.800492610837439,5,8,13
"31","ZA","Pontiac Lake","xeric",2,18.4583333333333,2.27497527200791,2.324431256182,4.59940652818991,92,94,186
"32","ZB","Pontiac Lake","mesic",2.33333333333333,9.08333333333333,1.36003956478734,1.26112759643917,2.62116716122651,55,51,106
"33","ZC","Pontiac Lake","xeric",1.66666666666667,37.3636363636364,2.6888341543514,2.17569786535304,4.86453201970443,131,106,237
"34","ZF","Indian Springs","mesic",2.33333333333333,7.54166666666667,0.821018062397373,0.656814449917898,1.47783251231527,40,32,72
"35","ZG","Kensington","xeric",1,11.25,0.0821018062397373,0.677339901477833,0.75944170771757,4,33,37
