Species,Waterlogging.tolerance,Shade.tolerance
Acer rubrum,3.08±0.28,3.44±0.23
Acer saccharinum,3.37±0.22,3.6±0.31
Acer saccharum,1.09±0.08,4.76±0.11
Betula alleghaniensis,2,3.17±0.16
Carpinus caroliniana,2.3±0.5,4.58±0.21
Fagus grandifolia,1.5±0.06,4.75±0.14
Frangula alnus,3.19±0,2.66±0
Fraxinus nigra,3.5,2.96±0.43
Fraxinus pennsylvanica,2.98±0.25,3.11±0.11
Larix laricina,3,0.98±0.09
Ostrya virginiana,1.07±0.06,4.58±0.21
Populus deltoides,3.03±0.27,1.76±0.38
Populus grandidentata,2,1.21±0.27
Prunus serotina,1.06±0.06,2.46±0.34
Quercus bicolor,2.58±0.28,2.98±0.02
Quercus macrocarpa,1.82±0.15,2.71±0.27
Quercus rubra,1.12±0.06,2.75±0.18
Tilia americana,1.26±0.15,3.98±0.15
Ulmus americana,2.46±0.26,3.14±0.12
Ulmus rubra,1.73±0.24,3.31±0.19
