Park,Plot_number,Lat,Lon
Kensington ,1 ,42.532541945,-83.670538799
Hudson Mills ,10 ,42.375157349,-83.914113374
Pontiac Lake ,100 ,42.676572345 ,-83.481901567 
Pontiac Lake ,101 ,42.676962675 ,-83.480959237 
Pontiac Lake ,102 ,42.676708712 ,-83.480460377 
Indian Springs ,103 ,42.706404029 ,-83.493421236 
Indian Springs ,104 ,42.706236630 ,-83.493822195 
Indian Springs ,105 ,42.706707727 ,-83.493609686 
Indian Springs ,106 ,42.705727437 ,-83.493866730 
Indian Springs ,107 ,42.705357371 ,-83.494123939 
Indian Springs ,108 ,42.705142946 ,-83.494985649 
Indian Springs ,109 ,42.702821118 ,-83.496243632 
Hudson Mills ,11 ,42.374745746 ,-83.914299376 
Indian Springs ,110 ,42.702560494 ,-83.495794519 
Indian Springs ,111 ,42.702496061 ,-83.495138874 
Kensington ,112 ,42.533597943 ,-83.671224726 
Kensington ,113 ,42.533860025 ,-83.671465971 
Kensington ,114 ,42.534377596 ,-83.671265798 
Highland ,115 ,42.647486892 ,-83.556335875 
Highland ,116 ,42.647348235 ,-83.557445728 
Highland ,117 ,42.646697498 ,-83.557563708 
Highland ,118 ,42.648075382 ,-83.552474604 
Highland ,119 ,42.647580300 ,-83.553000875 
Hudson Mills ,12 ,42.373981560 ,-83.914218871 
Highland ,120 ,42.648662416 ,-83.552852828 
Pontiac Lake ,121 ,42.680024874 ,-83.480041225 
Pontiac Lake ,122 ,42.680544570 ,-83.480296064 
Pontiac Lake ,123 ,42.681058472 ,-83.479799443 
Proud Lake ,124 ,42.574867947 ,-83.533392709 
Proud Lake ,125 ,42.574577597 ,-83.532431174 
Proud Lake ,126 ,42.574539386 ,-83.531937249 
Kensington ,127 ,42.534739905 ,-83.668797528 
Kensington ,128 ,42.535525851 ,-83.668021354 
Kensington ,129 ,42.536094333 ,-83.668037848 
Kensington ,13 ,42.534636985 ,-83.666954951 
Kensington ,14 ,42.534979950 ,-83.666570335 
Kensington ,15 ,42.534295422 ,-83.667219647 
Island Lake ,16 ,42.499414180 ,-83.716566403 
Island Lake ,17 ,42.500113159 ,-83.716904075 
Island Lake ,18 ,42.499844255 ,-83.717294045 
Kensington ,19 ,42.537844333 ,-83.666653622 
Kensington ,2 ,42.532967244 ,-83.670765049 
Kensington ,20 ,42.537941683 ,-83.665966847 
Kensington ,21 ,42.537279521 ,-83.666394849 
Island Lake ,22 ,42.499719124 ,-83.716309578 
Island Lake ,23 ,42.500855491 ,-83.716684799 
Island Lake ,24 ,42.497946850 ,-83.717754936 
Proud Lake ,25 ,42.575915901 ,-83.520992421 
Proud Lake ,26 ,42.576015692 ,-83.520543161 
Proud Lake ,27 ,42.576372247 ,-83.520269218 
Highland ,28 ,42.644734561 ,-83.566695349 
Highland ,29 ,42.645909758 ,-83.566805061 
Kensington ,3 ,42.533263557 ,-83.670932442 
Highland ,30 ,42.646862839 ,-83.569159815 
Proud Lake ,31 ,42.575788155 ,-83.523183524 
Proud Lake ,32 ,42.575775735 ,-83.523990074 
Proud Lake ,33 ,42.576354593 ,-83.521824263 
Proud Lake ,34 ,42.575715237 ,-83.528140294 
Proud Lake ,35 ,42.575817631 ,-83.527408255 
Proud Lake ,36 ,42.576073915 ,-83.526681275 
Proud Lake ,37 ,42.574766695 ,-83.545987231 
Proud Lake ,38 ,42.574742789 ,-83.546326820 
Proud Lake ,39 ,42.574286577 ,-83.547082648 
