trap_number,set_date,collection_date,Completed_sorting_y_n,Total_Hymenoptera,Symphyta,Chrysidoidea,Formicidae,Vespoidea_except_Formicidae,Pompilloidea,Apoidea,Ichneumonoidea_Ichneumonidae,Ichneumonoidea_Braconidae,Cynipoidea,Proctotrupoidea,Ceraphronoidea,Total_Chalcidoidea,Chalcidoidea_Mymaridae,Chalcidoidea_Encyrtidae,Chalcidoidea_other,Platygastroidea,Hymenoptera_unknown,Total_arthropods_except_Hymenoptera,Diptera,Hemiptera,Lepidoptera,Coleoptera,Other_arthropods,Notes
101,06_04_2024,06_14_2024,n,14,0,0,0,NA,NA,0,0,0,NA,5,0,0,NA,NA,NA,NA,9,19,NA,NA,NA,NA,NA,
102,06_04_2024,06_14_2024,n,16,0,0,2,NA,NA,0,1,1,NA,1,0,1,NA,NA,NA,NA,9,15,NA,NA,NA,NA,NA,
103,06_04_2024,06_14_2024,n,12,1,0,0,NA,NA,0,2,0,NA,5,0,1,NA,NA,NA,NA,5,15,NA,NA,NA,NA,NA,
104,06_04_2024,06_14_2024,n,9,0,0,0,NA,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,20,NA,NA,NA,NA,NA,
105,06_04_2024,06_14_2024,n,14,0,0,0,NA,NA,0,0,0,NA,1,0,0,NA,NA,NA,NA,13,13,NA,NA,NA,NA,NA,
106,06_04_2024,06_14_2024,n,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,
107,06_04_2024,06_14_2024,n,6,0,0,1,NA,NA,0,1,0,NA,0,0,0,NA,NA,NA,NA,4,6,NA,NA,NA,NA,NA,
108,06_04_2024,06_14_2024,n,1,0,0,0,NA,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,
109,06_04_2024,06_14_2024,n,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,
110,06_04_2024,06_14_2024,n,3,0,0,0,NA,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,
111,06_04_2024,06_14_2024,n,23,0,0,0,NA,NA,0,4,0,NA,9,0,0,NA,NA,NA,NA,9,30,NA,NA,NA,NA,NA,
112,06_04_2024,06_14_2024,n,1,0,0,0,NA,NA,1,0,0,NA,0,0,1,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,
113,06_04_2024,06_14_2024,n,8,0,0,0,NA,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,16,NA,NA,NA,NA,NA,
114,06_04_2024,06_14_2024,n,11,0,0,0,NA,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,15,NA,NA,NA,NA,NA,
115,06_04_2024,06_14_2024,n,11,0,0,0,NA,NA,0,0,1,NA,0,0,0,NA,NA,NA,NA,0,13,NA,NA,NA,NA,NA,Possible Spathius agrili
101,06_14_2024,06_21_2024,n,16,2,0,0,0,NA,0,3,1,NA,3,1,1,NA,NA,NA,NA,0,31,19,4,0,5,3,
102,06_14_2024,06_21_2024,n,11,0,0,1,0,NA,0,4,1,NA,2,0,1,NA,NA,NA,NA,2,28,11,10,1,4,1,
103,06_14_2024,06_21_2024,n,24,0,1,1,1,NA,0,3,0,NA,6,0,5,NA,NA,NA,NA,11,24,10,8,3,1,1,
104,06_14_2024,06_21_2024,n,18,0,0,0,0,NA,0,0,0,NA,0,0,1,NA,NA,NA,NA,17,43,14,18,1,8,2,
105,06_14_2024,06_21_2024,n,32,1,0,5,0,NA,0,1,1,NA,2,1,15,NA,NA,NA,NA,6,29,15,7,1,4,2,Found possibly a native Oobius
106,06_14_2024,06_21_2024,n,10,0,0,0,0,NA,0,1,1,NA,2,0,1,NA,NA,NA,NA,5,10,1,5,0,3,1,
107,06_14_2024,06_21_2024,n,10,1,0,2,0,NA,0,1,1,NA,1,0,2,NA,NA,NA,NA,0,17,6,6,0,5,1,
108,06_14_2024,06_21_2024,n,10,1,0,1,0,NA,0,1,0,NA,1,0,1,NA,NA,NA,NA,1,11,4,3,0,3,1,Unknown Hymenoptera is possibly Aulacidae
109,06_14_2024,06_21_2024,n,1,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,1,0,1,0,0,0,
110,06_14_2024,06_21_2024,n,11,1,0,0,0,NA,0,0,0,NA,4,1,1,NA,NA,NA,NA,4,25,14,3,2,7,0,
111,06_14_2024,06_21_2024,n,26,2,0,3,0,NA,0,2,1,NA,4,0,2,NA,NA,NA,NA,13,24,4,7,2,12,0,
112,06_14_2024,06_21_2024,n,73,2,0,2,0,NA,0,4,5,NA,2,0,7,NA,NA,NA,NA,51,62,24,20,1,16,1,Possible Spathius agrili or galinae AND possible Oobius agrili
113,06_14_2024,06_21_2024,n,12,1,0,0,0,NA,1,1,1,NA,0,0,0,NA,NA,NA,NA,8,23,6,5,4,8,0,
