trap_number,set_date,collection_date,Completed_sorting_y_n,Total_Hymenoptera,Symphyta,Chrysidoidea_Dryinidae,Formicidae,Vespoidea_except_Formicidae,Pompilloidea,Apoidea,Ichneumonoidea_Ichneumonidae,Ichneumonoidea_Braconidae,Spathius_galinae,Cynipoidea,Proctotrupoidea_Diapriidae,Ceraphronoidea,Total_Chalcidoidea,Chalcidoidea_Mymaridae,Chalcidoidea_Encyrtidae,Oobius_agrili,Chalcidoidea_other,Tetrastichus_planipennisi,Platygastroidea,Hymenoptera_unknown,Total_arthropods_except_Hymenoptera,Diptera,Hemiptera,Lepidoptera,Coleoptera,Other_arthropods,Notes,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
101,06_04_2024,06_14_2024,n,14,,,,,,,,,0,,,,,,,0,,0,,14,19,,,,,,lots of pollen,,,,,,,,,,,,,,,
102,06_04_2024,06_14_2024,n,16,,,,,,,,,0,,,,,,,0,,0,,16,15,,,,,,bristletail - lots of white threadlike plant material,,,,,,,,,,,,,,,
103,06_04_2024,06_14_2024,n,12,,,,,,,,,0,,,,,,,0,,0,,12,15,,,,,,,,,,,,,,,,,,,,,
104,06_04_2024,06_14_2024,n,9,,,,,,,,,0,,,,,,,0,,0,,9,20,,,,,,interesting small cerambycid - Hymenoptera were pointed using the HMDS procedure - failed,,,,,,,,,,,,,,,
105,06_04_2024,06_14_2024,n,14,,,,,,,,,0,,,,,,,0,,0,,14,13,,,,,,,,,,,,,,,,,,,,,
106,06_04_2024,06_14_2024,n,NA,,,,,,,,,NA,,,,,,,NA,,NA,,NA,NA,,,,,,liquid was fully evaporated during initial collection - vials not created,,,,,,,,,,,,,,,
107,06_04_2024,06_14_2024,n,6,,,,,,,,,0,,,,,,,0,,0,,6,6,,,,,,trap liquid was almost fully evaporated during initial collection,,,,,,,,,,,,,,,
108,06_04_2024,06_14_2024,n,1,,,,,,,,,0,,,,,,,0,,0,,1,1,,,,,,trap liquid was almost fully evaporated during initial collection,,,,,,,,,,,,,,,
109,06_04_2024,06_14_2024,n,NA,,,,,,,,,NA,,,,,,,NA,,NA,,NA,NA,,,,,,trap was disturbed during collection period - thus sample was not collected,,,,,,,,,,,,,,,
110,06_04_2024,06_14_2024,n,3,,,,,,,,,0,,,,,,,0,,0,,3,2,,,,,,trap liquid was almost fully evaporated during initial collection - non-Hymenoptera vial not created,,,,,,,,,,,,,,,
111,06_04_2024,06_14_2024,n,23,,,,,,,,,0,,,,,,,0,,0,,23,30,,,,,,,,,,,,,,,,,,,,,
112,06_04_2024,06_14_2024,n,1,,,,,,,,,0,,,,,,,0,,0,,1,2,,,,,,trap liquid was almost fully evaporated during initial collection - the bee was placed in same vial as fly,,,,,,,,,,,,,,,
