year_of_data_collection,center_tree_number,microplot_NESW,number_new_with_cotyledons,percent_cover_0_0.5_1_3.5_8_15.5_25.5_etc,northeast_number_established_short,southeast_number_established_short,southwest_number_established_short,northwest_number_established_short,northeast_number_established_tall,southeast_number_established_tall,southwest_number_established_tall,northwest_number_established_tall,area_of_microplot_m_squared,ash_seedlings_notes
2024,1,N,0,3.5,1,0,1,0,0,0,1,1,3.37,
2024,1,E,0,3.5,0,1,1,0,1,1,0,0,3.37,
2024,1,S,0,15.5,1,0,1,1,2,0,4,0,3.37,
2024,1,W,0,3.5,0,0,1,0,1,1,2,0,3.37,
2024,2,N,0,3.5,1,0,0,0,0,0,0,1,3.37,
2024,2,E,0,3.5,0,0,0,0,0,0,0,2,3.37,
2024,2,S,0,0,0,0,0,0,0,0,0,0,3.37,
2024,2,W,0,8,0,0,0,0,1,0,0,0,3.37,In NW - there is an approx. 2m tall ash just outside the microplot.
2024,3,N,0,0,0,0,0,0,0,0,0,0,3.37,
2024,3,E,0,0,0,0,0,0,0,0,0,0,3.37,1m north of a fork of fallen elm (2nd fork on left).
2024,3,S,0,0,0,0,0,0,0,0,0,0,3.37,Just .5m east of autum olive.
2024,3,W,0,0,0,0,0,0,0,0,0,0,3.37,
2024,94,N,0,0.5,0,0,0,1,0,0,0,0,3.37,
2024,94,E,0,45.5,3,1,4,1,3,1,9,4,3.37,
2024,94,S,0,25.5,0,1,0,3,3,3,1,3,3.37,
2024,94,W,0,3.5,0,0,1,1,2,2,4,0,3.37,
2024,97,N,0,3.5,0,0,0,0,0,3,0,1,3.37,
2024,97,E,0,8,2,0,0,0,2,0,0,0,3.37,
2024,97,S,0,25.5,0,3,5,0,3,2,6,1,3.37,
2024,97,W,0,35.5,11,3,4,3,7,7,6,4,3.37,
2024,98,N,0,0,0,0,0,0,0,0,0,0,3.37,
2024,98,E,0,8,2,1,3,4,3,2,0,1,3.37,
2024,98,S,0,1,0,1,4,0,0,0,0,0,3.37,
2024,98,W,0,1,0,1,5,0,0,0,0,0,3.37,
2024,99,N,0,0.5,0,0,1,1,0,0,0,0,3.37,
2024,99,E,0,0,0,0,0,0,0,0,0,0,3.37,submergd
2024,99,S,0,25.5,0,0,0,0,0,0,3,0,3.37,submergd
2024,99,W,0,0.5,0,1,0,0,0,0,0,0,3.37,
2024,96,N,0,15.5,0,2,7,5,4,1,2,1,3.37,
2024,96,E,0,8,6,3,2,7,3,3,4,1,3.37,
2024,96,S,0,15.5,0,1,0,0,1,0,0,3,3.37,
2024,96,W,0,15.5,1,0,0,1,1,2,0,3,3.37,
2024,95,N,0,25.5,2,2,10,3,3,0,7,3,3.37,
2024,95,E,0,15.5,4,3,0,7,2,2,0,1,3.37,
2024,95,S,0,35.5,1,2,0,1,1,2,0,3,3.37,
2024,95,W,0,15.5,1,2,2,1,2,0,4,0,3.37,
2024,49,N,0,55.5,9,7,6,7,4,4,4,3,3.37,
2024,49,E,0,45.5,6,3,3,9,2,1,4,5,3.37,
2024,49,S,0,8,1,2,7,4,0,2,0,0,3.37,
2024,49,W,0,8,3,1,5,4,1,1,1,2,3.37,
2024,50,N,0,3.5,2,0,0,1,1,0,0,2,3.37,
2024,50,E,0,35.5,3,1,0,1,1,4,2,2,3.37,
2024,50,S,0,3.5,1,0,2,0,0,1,0,2,3.37,
2024,50,W,0,8,2,3,0,0,0,4,1,0,3.37,
2024,53,N,0,15.5,0,0,2,3,3,1,2,4,3.37,not counting taller than dbh for % cover
2024,53,E,0,25.5,3,0,0,2,3,5,0,2,3.37,not counting taller than dbh for % cover
2024,53,S,0,3.5,2,0,0,0,3,0,0,1,3.37,not counting taller than dbh for % cover
2024,53,W,0,3.5,2,1,1,3,1,0,0,0,3.37,not counting taller than dbh for % cover
