park,center_tree_number,trap_type,trap_number,set_date,collection_date,trap_intact_y_n,liquid_evaporated_y_n,YPT_collection_notes
Pontiac,53,yellow pan,101,06_04_2024,06_14_2024,y,n,
Pontiac,53,yellow pan,101,06_14_2024,06_21_2024,y,n,
Pontiac,53,yellow pan,101,06_21_2024,06_27_2024,y,n,
Pontiac,53,yellow pan,101,06_27_2024,07_03_2024,y,n,
Pontiac,53,yellow pan,101,07_03_2024,07_12_2024,y,n,
Pontiac,53,yellow pan,101,07_12_2024,07_18_2024,y,n,
Pontiac,53,yellow pan,101,07_18_2024,07_25_2024,y,n,
Pontiac,53,yellow pan,101,07_25_2024,08_01_2024,y,n,
Pontiac,53,yellow pan,101,08_01_2024,08_08_2024,y,n,removed
,,,,,,,,
Pontiac,53,yellow pan,102,06_04_2024,06_14_2024,y,n,
Pontiac,53,yellow pan,102,06_14_2024,06_21_2024,y,n,
Pontiac,53,yellow pan,102,06_21_2024,06_27_2024,y,n,
Pontiac,53,yellow pan,102,06_27_2024,07_03_2024,y,n,
Pontiac,53,yellow pan,102,07_03_2024,07_12_2024,y,n,
Pontiac,53,yellow pan,102,07_12_2024,07_18_2024,y,n,
Pontiac,53,yellow pan,102,07_18_2024,07_25_2024,y,n,
Pontiac,53,yellow pan,102,07_25_2024,08_01_2024,y,n,
Pontiac,53,yellow pan,102,08_01_2024,08_08_2024,y,n,removed
,,,,,,,,
Pontiac,53,yellow pan,103,06_04_2024,06_14_2024,y,n,
Pontiac,53,yellow pan,103,06_14_2024,06_21_2024,y,n,
Pontiac,53,yellow pan,103,06_21_2024,06_27_2024,y,n,
Pontiac,53,yellow pan,103,06_27_2024,07_03_2024,y,n,
Pontiac,53,yellow pan,103,07_03_2024,07_12_2024,y,n,
Pontiac,53,yellow pan,103,07_12_2024,07_18_2024,y,n,
Pontiac,53,yellow pan,103,07_18_2024,07_25_2024,y,n,
Pontiac,53,yellow pan,103,07_25_2024,08_01_2024,y,n,
Pontiac,53,yellow pan,103,08_01_2024,08_08_2024,y,n,removed
,,,,,,,,
Pontiac,53,yellow pan,104,06_04_2024,06_14_2024,y,n,
Pontiac,53,yellow pan,104,06_14_2024,06_21_2024,y,n,
Pontiac,53,yellow pan,104,06_21_2024,06_27_2024,y,n,
Pontiac,53,yellow pan,104,06_27_2024,07_03_2024,y,n,
Pontiac,53,yellow pan,104,07_03_2024,07_12_2024,y,n,
Pontiac,53,yellow pan,104,07_12_2024,07_18_2024,y,n,
Pontiac,53,yellow pan,104,07_18_2024,07_25_2024,y,n,
Pontiac,53,yellow pan,104,07_25_2024,08_01_2024,y,n,
Pontiac,53,yellow pan,104,08_01_2024,08_08_2024,y,n,removed
,,,,,,,,
Pontiac,53,yellow pan,105,06_04_2024,06_14_2024,y,n,
Pontiac,53,yellow pan,105,06_14_2024,06_21_2024,y,n,
Pontiac,53,yellow pan,105,06_21_2024,06_27_2024,y,n,
Pontiac,53,yellow pan,105,06_27_2024,07_03_2024,y,n,
Pontiac,53,yellow pan,105,07_03_2024,07_12_2024,y,n,
Pontiac,53,yellow pan,105,07_12_2024,07_18_2024,y,n,Some of the trap contents may have been dumped accidentally
Pontiac,53,yellow pan,105,07_18_2024,07_25_2024,y,n,
Pontiac,53,yellow pan,105,07_25_2024,08_01_2024,y,n,
Pontiac,53,yellow pan,105,08_01_2024,08_08_2024,y,n,removed
,,,,,,,,
Pontiac,53,yellow pan,106,06_04_2024,06_14_2024,y,y,
Pontiac,53,yellow pan,106,06_14_2024,06_21_2024,y,n,
Pontiac,53,yellow pan,106,06_21_2024,06_27_2024,y,n,
Pontiac,53,yellow pan,106,06_27_2024,07_03_2024,y,n,
Pontiac,53,yellow pan,106,07_03_2024,07_12_2024,y,n,
Pontiac,53,yellow pan,106,07_12_2024,07_18_2024,y,n,
Pontiac,53,yellow pan,106,07_18_2024,07_25_2024,y,n,
Pontiac,53,yellow pan,106,07_25_2024,08_01_2024,y,n,
Pontiac,53,yellow pan,106,08_01_2024,08_08_2024,y,n,removed
,,,,,,,,
Pontiac,53,yellow pan,107,06_04_2024,06_14_2024,y,y,liquid almost but not completely evaporated
Pontiac,53,yellow pan,107,06_14_2024,06_21_2024,y,n,
Pontiac,53,yellow pan,107,06_21_2024,06_27_2024,y,n,
Pontiac,53,yellow pan,107,06_27_2024,07_03_2024,y,n,
Pontiac,53,yellow pan,107,07_03_2024,07_12_2024,y,n,
Pontiac,53,yellow pan,107,07_12_2024,07_18_2024,y,n,
Pontiac,53,yellow pan,107,07_18_2024,07_25_2024,y,n,
Pontiac,53,yellow pan,107,07_25_2024,08_01_2024,y,n,
Pontiac,53,yellow pan,107,08_01_2024,08_08_2024,y,n,removed
,,,,,,,,
Pontiac,53,yellow pan,108,06_04_2024,06_14_2024,y,y,liquid almost but not completely evaporated
Pontiac,53,yellow pan,108,06_14_2024,06_21_2024,y,n,
Pontiac,53,yellow pan,108,06_21_2024,06_27_2024,y,n,
Pontiac,53,yellow pan,108,06_27_2024,07_03_2024,y,n,
Pontiac,53,yellow pan,108,07_03_2024,07_12_2024,y,n,
Pontiac,53,yellow pan,108,07_12_2024,07_18_2024,y,n,
Pontiac,53,yellow pan,108,07_18_2024,07_25_2024,y,n,
Pontiac,53,yellow pan,108,07_25_2024,08_01_2024,y,n,
Pontiac,53,yellow pan,108,08_01_2024,08_08_2024,y,n,Trap contents were accidentally partially dumped - removed
,,,,,,,,
Pontiac,53,yellow pan,109,06_04_2024,06_14_2024,n,y,sample not collected at all - top bowl now has holes and needs replaced - potential raccoon damage
Pontiac,53,yellow pan,109,06_14_2024,06_21_2024,y,n,top bowl replaced
Pontiac,53,yellow pan,109,06_21_2024,06_27_2024,y,n,
Pontiac,53,yellow pan,109,06_27_2024,07_03_2024,y,n,
Pontiac,53,yellow pan,109,07_03_2024,07_12_2024,y,n,
Pontiac,53,yellow pan,109,07_12_2024,07_18_2024,y,n,
Pontiac,53,yellow pan,109,07_18_2024,07_25_2024,y,n,
Pontiac,53,yellow pan,109,07_25_2024,08_01_2024,y,n,
Pontiac,53,yellow pan,109,08_01_2024,08_08_2024,y,n,removed
,,,,,,,,
Pontiac,53,yellow pan,110,06_04_2024,06_14_2024,y,y,liquid almost but not completely evaporated
Pontiac,53,yellow pan,110,06_14_2024,06_21_2024,y,n,
Pontiac,53,yellow pan,110,06_21_2024,06_27_2024,y,n,
Pontiac,53,yellow pan,110,06_27_2024,07_03_2024,y,n,
Pontiac,53,yellow pan,110,07_03_2024,07_12_2024,y,n,
Pontiac,53,yellow pan,110,07_12_2024,07_18_2024,y,n,
Pontiac,53,yellow pan,110,07_18_2024,07_25_2024,y,n,
Pontiac,53,yellow pan,110,07_25_2024,08_01_2024,y,n,
Pontiac,53,yellow pan,110,08_01_2024,08_08_2024,y,n,removed
,,,,,,,,
Pontiac,53,yellow pan,111,06_04_2024,06_14_2024,y,n,
Pontiac,53,yellow pan,111,06_14_2024,06_21_2024,y,n,
Pontiac,53,yellow pan,111,06_21_2024,06_27_2024,y,n,
Pontiac,53,yellow pan,111,06_27_2024,07_03_2024,y,n,
Pontiac,53,yellow pan,111,07_03_2024,07_12_2024,y,n,
Pontiac,53,yellow pan,111,07_12_2024,07_18_2024,y,n,
Pontiac,53,yellow pan,111,07_18_2024,07_25_2024,y,n,
Pontiac,53,yellow pan,111,07_25_2024,08_01_2024,y,n,
Pontiac,53,yellow pan,111,08_01_2024,08_08_2024,y,n,removed
,,,,,,,,
Pontiac,53,yellow pan,112,06_04_2024,06_14_2024,n,y,liquid almost but not completely evaporated - top bowl has holes and needs replaced - raccoon damage
Pontiac,53,yellow pan,112,06_14_2024,06_21_2024,y,n,top bowl replaced
Pontiac,53,yellow pan,112,06_21_2024,06_27_2024,y,n,
Pontiac,53,yellow pan,112,06_27_2024,07_03_2024,y,n,slug disintegrated into trap liquid
Pontiac,53,yellow pan,112,07_03_2024,07_12_2024,y,n,
Pontiac,53,yellow pan,112,07_12_2024,07_18_2024,y,n,
Pontiac,53,yellow pan,112,07_18_2024,07_25_2024,y,n,
Pontiac,53,yellow pan,112,07_25_2024,08_01_2024,y,n,
Pontiac,53,yellow pan,112,08_01_2024,08_08_2024,y,n,removed
,,,,,,,,
Pontiac,53,yellow pan,113,06_04_2024,06_14_2024,y,n,
Pontiac,53,yellow pan,113,06_14_2024,06_21_2024,y,n,
Pontiac,53,yellow pan,113,06_21_2024,06_27_2024,y,n,
Pontiac,53,yellow pan,113,06_27_2024,07_03_2024,y,n,
Pontiac,53,yellow pan,113,07_03_2024,07_12_2024,y,n,
Pontiac,53,yellow pan,113,07_12_2024,07_18_2024,y,n,
Pontiac,53,yellow pan,113,07_18_2024,07_25_2024,y,n,
Pontiac,53,yellow pan,113,07_25_2024,08_01_2024,y,n,
Pontiac,53,yellow pan,113,08_01_2024,08_08_2024,y,n,removed
,,,,,,,,
Pontiac,53,yellow pan,114,06_04_2024,06_14_2024,y,n,
Pontiac,53,yellow pan,114,06_14_2024,06_21_2024,y,n,
Pontiac,53,yellow pan,114,06_21_2024,06_27_2024,y,n,
Pontiac,53,yellow pan,114,06_27_2024,07_03_2024,y,n,
Pontiac,53,yellow pan,114,07_03_2024,07_12_2024,y,n,
Pontiac,53,yellow pan,114,07_12_2024,07_18_2024,y,n,
Pontiac,53,yellow pan,114,07_18_2024,07_25_2024,y,n,
Pontiac,53,yellow pan,114,07_25_2024,08_01_2024,y,n,
Pontiac,53,yellow pan,114,08_01_2024,08_08_2024,y,n,removed
,,,,,,,,
Pontiac,53,yellow pan,115,06_04_2024,06_14_2024,y,n,
Pontiac,53,yellow pan,115,06_14_2024,06_21_2024,y,n,
Pontiac,53,yellow pan,115,06_21_2024,06_27_2024,y,n,
Pontiac,53,yellow pan,115,06_27_2024,07_03_2024,y,n,
Pontiac,53,yellow pan,115,07_03_2024,07_12_2024,y,n,
Pontiac,53,yellow pan,115,07_12_2024,07_18_2024,y,n,
Pontiac,53,yellow pan,115,07_18_2024,07_25_2024,y,n,
Pontiac,53,yellow pan,115,07_25_2024,08_01_2024,y,n,
Pontiac,53,yellow pan,115,08_01_2024,08_08_2024,y,n,removed
