plot_percent_cover_date,center_tree_number,quadrant,water,graminoids,skunk_cabbage,ferns,spicebush,ilex,glossy_buckthorn,poison_sumac,other_woody_shrub,notes
5/22/2025,106,NE,8,85.5,35.5,8,1,0,0,0,3.5,dogwood
5/22/2025,106,SE,25.5,15.5,25.5,3.5,0,0,0,0,3.5,multiflora rose
5/22/2025,106,SW,8,85.5,75.5,0,1,0,0,0,3.5,
5/22/2025,106,NW,8,65.5,55.5,3.5,1,0,1,0,3.5,
5/22/2025,107,NE,15.5,35.5,35.5,8,0,0,0,0,3.5,autumn olive
5/22/2025,107,SE,15.5,8,55.5,8,0,0,0,0,0,stream runs through
5/22/2025,107,SW,15.5,25.5,35.5,3.5,0,0,0,0,1,ribes
5/22/2025,107,NW,15.5,45.5,25.5,3.5,0,0,0,0,0,
5/23/2025,40,NE,1,95.5,55.5,3.5,1,0,1,3.5,1,
5/23/2025,40,SE,15.5,95.5,8,3.5,0,0,0,1,3.5,
5/23/2025,40,SW,8,95.5,3.5,8,0,0,0,3.5,3.5,
5/23/2025,40,NW,1,95.5,35.5,8,1,0,0,3.5,1,
5/28/2025,103,NE,15.5,75.5,15.5,75.5,3.5,0,0,0,3.5,sensitive fern -  dogwood -  hazelnut
5/28/2025,103,SE,8,55.5,3.5,55.5,1,3.5,0,0,3.5,autumn olive -  brambles
5/28/2025,103,SW,1,95.5,55.5,45.5,8,3.5,0,0,1,dogwood -  roses
5/28/2025,103,NW,3.5,95.5,25.5,45.5,3.5,0,0,0,1,autumn olive
5/29/2025,105,NE,1,45.5,55.5,15.5,15.5,0,0,0,15.5,maiden hair fern/sprial fern -  autumn olive
5/29/2025,105,SE,15.5,85.5,35.5,25.5,8,0,0,0,3.5,autumn olive
5/29/2025,105,SW,0,95.5,85.5,75.5,8,0,0,0,1,elder berry
5/29/2025,105,NW,8,65.5,65.5,8,8,0,0,0,3.5,autumn olive
5/27/2025,108,NE,0,65.5,65.5,8,3.5,0,0,0,0,horsetails
