center_tree_number,mstrlvl,plotmstr
1,xeric,1
2,xeric,1
3,xeric,1
4,mesic,3
5,mesic,3
6,mesic,3
7,xeric,1
8,xeric,1
9,xeric,1
10,xeric,2
11,xeric,2
12,xeric,1
13,xeric,1
14,xeric,1
15,xeric,1
16,mesic,2
17,mesic,3
18,mesic,4
19,xeric,1
20,xeric,1
21,xeric,1
22,hydric,4
23,hydric,4
24,hydric,4
25,xeric,3
26,xeric,1
27,xeric,1
28,xeric,3
29,xeric,1
30,xeric,1
31,xeric,1
32,xeric,2
33,xeric,1
34,xeric,1
35,xeric,1
36,xeric,1
37,hydric,5
38,hydric,5
39,hydric,5
40,hydric,5
41,hydric,4
42,hydric,5
43,hydric,5
44,hydric,5
45,hydric,5
46,xeric,2
47,xeric,2
48,xeric,2
49,xeric,2
50,xeric,2
51,xeric,2
52,mesic,3
53,mesic,1
54,mesic,3
55,xeric,2
56,xeric,2
57,xeric,2
58,xeric,1
59,xeric,1
60,xeric,1
61,hydric,4
62,hydric,4
63,hydric,4
64,hydric,4
65,hydric,3
66,hydric,4
67,mesic,2
68,mesic,3
69,mesic,2
70,hydric,3
71,hydric,4
72,hydric,4
73,xeric,2
74,xeric,3
75,xeric,2
76,hydric,4
77,hydric,4
78,hydric,4
79,mesic,3
80,mesic,2
81,mesic,2
82,xeric,2
83,xeric,2
84,xeric,2
85,mesic,1
86,mesic,3
87,mesic,3
88,xeric,1
89,xeric,1
90,xeric,1
91,xeric,2
92,xeric,2
93,xeric,1
94,xeric,2
95,xeric,2
96,xeric,2
97,mesic,3
98,mesic,2
99,mesic,2
100,xeric,2
101,xeric,1
102,xeric,2
103,hydric,5
104,hydric,4
105,hydric,4
106,hydric,4
107,hydric,4
108,hydric,4
109,mesic,2
110,mesic,3
111,mesic,2
112,xeric,1
113,xeric,1
114,xeric,1
115,xeric,1
116,xeric,1
117,xeric,1
118,xeric,1
119,xeric,1
120,xeric,2
121,xeric,1
122,xeric,1
123,xeric,2
124,xeric,1
125,xeric,1
126,xeric,2
127,xeric,1
128,xeric,1
129,xeric,1
