Park,center_tree_number,quadrant_NE_SE_SW_NW,distance_to_center_meters,compass_direction,ash_species,diameter_at_137_cm_in_cm,canopy_condition_1_5,crown_class_D_C_I_S,EAB_exit_holes_y_n,woodpecker_marks_y_n,ash_bark_splitting_y_n,epicormic_sprouts_y_n,basal_sprouts_y_n,galleries_y_n,number_of_EAB_exit_holes_from_125_to_175_cm,number_of_woodpecker_marks_from_125_to_175_cm,date_on_tree_tag_MM_DD_YYYY,ash_number_on_tree_tag,tree_tag_info,ash_trees_notes,park_2011,date_examined_2011,center_tree_number_2011,ash_number_on_tree_tag_2011,diameter_at_12_in_2011,diameter_at_breast_height_2011,distance_to_center_meters_2011,compass_direction_2011,notes_2011
Pontiac Lake,53,NW,13.5,301,?,5.7,4,I,n,y,y,n,n,n,0,0,missing,missing,tagged - tag label gone,tagged - tag label gone,pontiac,28Jun11,53,15,31.01,22.88,13.51,305,mid-level trunk spots; bark splitting
Pontiac Lake,53,NW,10,301,?,4.6,1,I,y,n,y,y,n,n,0,0,missing,missing,tagged - tag label gone,tagged - tag label gone,pontiac,28Jun11,53,12,11.09,3.68,9.93,310,
Pontiac Lake,53,NW,11.9,316,?,3,1,I,n,n,y,y,n,n,0,0,missing,13,tagged previously - 13,tagged previously - 13,pontiac,28Jun11,53,13,11.41,10.24,11.82,318,yellow spots on lvs
Pontiac Lake,53,NW,14,322,?,4.9,1,I,n,n,n,n,n,n,0,0,missing,missing,tagged - tag label gone,tagged - tag label gone,pontiac,28Jun11,53,18,32.12,11.7,13.92,328,new 6/28/11
Pontiac Lake,52,NW,9.55,283,black,1.7,1,S,n,n,y,n,n,,0,0,missing,6,Ash number 6,,pontiac,16Jun11,52,6,13.74,10.01,9.37,285,"tall, healthy"
Proud Lake,39,NE,11.3,29,black,5.1,1,,n,n,n,n,n,,0,0,07_08_2009,2,Tagged Ash 2 - July 8 2009,,proud lake,14Jul11,39,2,21.12,14.12,10.63,45,
Proud Lake,39,SW,5.09,238,black,7.9,5,I,n,y,y,y,,y,0,3,07_08_2009,6,Tagged - July 8 2009 - Ash 6,found a cerambycid - see photo,proud lake,14Jul11,39,6,32.15,24.2,5.16,238,
Island Lake,63,NE,less than 8,,green,4.6,1,I,n,n,n,n,n,,,,08_18_2009,7,Ash number 7 - 08_18_2009,,island lake,04Aug11,63,7,24.54,14.69,0.94,60,ok
Island Lake,63,NW,less than 8,,green or white,4.8,1,I,n,n,y,n,n,,,,08_18_2009,3,Ash number 3 - 08_18_2009,,island lake,04Aug11,63,3,25.94,17.43,2.21,244,good
Island Lake,63,NW,less than 8,,green?,3.5,3,S,n,n,y,n,y,,,,08_18_2009,1,Ash number 1 - 08_18_2009,,island lake,04Aug11,63,1,28.49,17.41,6.77,321,good
Island Lake,63,SE,less than 8,,green,3,2,I,n,n,y,y,n,y,,,08_18_2009,5,Ash number 5 - 08_18_09,,island lake,04Aug11,63,5,21.7,14.76,6.46,150,growing pt disease
Island Lake,63,NW,less than 8,,black,9.5,5,I,n,y,y,y,n,y,,,04_08_2011,9,Frax number 9 - 04_08_2011,,island lake,04Aug11,63,9,56.51,33.5,3.54,319,new in 2011
Indian Springs,78,NE,8.32,,green or white,4.6,1,I,n,n,n,n,n,n,,,missing_2013,8,Ash number 8 - re-tag - Frax sp. 2013,,indian springs,27Jul11,78,8,18.5,13.03,8.33,73,good
Indian Springs,78,SE,less than 8,,green,2.4,1,I,n,n,n,n,n,n,,,missing_2013,1,Ash number 1 - re-tag - 2013,,indian springs,27Jul11,78,1,12.82,7.21,5.9,93,good
Indian Springs,78,SE,less than 8,,green,3.6,1,I,n,n,n,n,n,n,,,07_09_2009,2,Ash number 2 - 07_09_2009,,indian springs,27Jul11,78,2,18.6,12.37,5.5,122,good
Indian Springs,78,SE,8.64,,green,4.3,1,I,n,n,n,n,n,n,,,07_24_2011,10,Frax sp. number 10 - 07_24_2011,,indian springs,27Jul11,78,10,20.98,13.25,8.73,101,new 2011
Indian Springs,75_north,,8.07,,green or white,2.7,1,S,n,n,y,n,n,n,,,07_09_2009,3,Ash number 3 - 07_09_2009,,indian springs,21Jul11,75,3,19.05,14.59,27.55,48,healthy
Indian Springs,70,SW,7,222,black,,5,S,n,n,y,n,y,n,,,missing,missing,tagged - tag label missing - note: not counted in the sapling datasheet,The basal sprout is living and healthy,indian springs,27Jul11,70,1,16.03,11.92,7.26,224,healthy
Indian Springs,70,NW,12.5,294,black,4.4,1,I,n,n,y,n,n,n,,,08_04_2009,3,Ash 3 - 08_04_2009 - tree tag is girdling the tree,,indian springs,27Jul11,70,3,21.64,14.67,12.2,290,healthy
Indian Springs,70,NW,11.8,330,black,3.8,1,S,n,n,y,n,n,n,,,08_04_2009,6,Ash 6 - 08_04_2009,,indian springs,27Jul11,70,6,19.93,16.2,11.11,327,healthy
Highland,85,NE,11.08,,hickory,,,,,,,,,,,,06_15_2010,5,Frax number 5 - 06_15_2010,,highland,09Jun11,85,5,27.35,21.29,11.06,63,good
Highland,87,NE,less than 8,,?,3.5,5,S,y,n,y,y,y,n,,,06_17_2010,2,Ash 2 - 06_17_2010,,highland,09Jun11,87,2,27.42,19.43,3.23,104,good
Highland,87,NW,20.65,,black,4,1,S,n,n,n,n,n,n,,,missing,missing,white and orange flagging,,,,,,,,,,
Island Lake,16,SE,15.22,275,green,2.6,2,S,n,n,n,n,n,n,,,07_20_2009,1,Ash 1 - 07_20_2009,,island lake,29Jun11,16,1,22.95,17.21,14.6,96,
Island Lake,16,SE,15.22,275,green,4.3,1,S,n,n,n,n,n,n,,,07_20_2009,2,Ash 2 - 07_20_2009,,island lake,29Jun11,16,2,24.54,18.69,14.95,98,
Island Lake,18,NW,7.62,305,black,4.5,5,S,n,y,y,n,n,n,,,07_20_2009,1,Ash 1 - 07_20_2009,It is fallen,island lake,03Aug11,18,1,25.62,18.95,6.9,296,healthy
Island Lake,18,NW,8.11,355,black,3.8,2,S,n,n,y,y,n,n,,,08_03_2011,4,Frax 4 new - 08_03_2011,epicormic sprouts are new,island lake,03Aug11,18,4,18.25,14.2,7.8,357,healthy; new 2011
Pontiac Lake,60,NE,between 8 and 18,5,green or white,2.6,1,S,n,n,n,n,n,n,,,08_11_2009,1,Frax spp. 1 - 08_11_2009,,pontiac,20Jul11,60,1,34.18,19.26,8.93,15,
Indian Springs,80,SE,16.19,165,green or white,3.8,1,S,n,n,n,n,n,n,,,07_08_2009,missing,Ash number ? - 07_08_2009,,,,,,,,,,
Pontiac Lake,59,SW,9.5,226,green or white,1.4,2,S,n,n,n,n,n,n,,,08_06_2009,1,Ash 1 - 08_06_2009,The top of the tree is gone,pontiac,20Jul11,59,1,10.62,8.2,9.93,222,
Island Lake,22,NE,0.92,0,black,4,3,S,n,n,y,y,y,n,,,08_19_2009,7,Ash 7 - 08_19_2009,ash choked by tag,island lake,29Jun11,22,7,18.56,11.55,1,67,good
Island Lake,22,SE,less than 8,,black,5.1,3,S,n,n,n,y,n,n,,,08_19_2009,5,Ash 5 - 08_19_2009,ash choked by tag,island lake,29Jun11,22,5,26.04,20.32,5.29,158,
Island Lake,22,SW,7.08,336,black,6.4,5,S,n,n,y,y,y,n,,,missing,missing,Tagged - label missing,epicormic sprouts living (or fresh?),,,,,,,,,
Island Lake,22,NE,17.5,,green,4.6,1,I,n,n,n,n,n,n,,,08_23_2012,8,#8 Frax. Sp. - 08_23_2012,tree is bent over,island lake,29Jun11,22,8,24.75,20.93,17.88,27,
Island Lake,65,NW,4.81,0,black,2.2,2,S,n,n,n,n,n,n,,,07_21_2009,1,Ash 1 - 07_21_2009,,island lake,15Jul11,65,1,18.32,14.2,4.1,9,good
Island Lake,65,NE,6.93,,black,1,1,S,n,n,n,n,n,n,,,07_21_2009,5,Ash 5 - 07_21_2009,,island lake,15Jul11,65,5,9.2,.,7.21,68,
Pontiac Lake,54,NE,,,Zanthoxylum (prickly ash),,,,,,,,,,,,NA,NA,CM 29,,,,,,,,,,
