State,County,Year_detected
Alabama,Calhoun,2016
Alabama,St. Clair,2017
Alabama,Talladega,2017
Arkansas,Ashley,2018
Arkansas,Baxter,2018
Arkansas,Clark,2014
Arkansas,Columbia,2014
Arkansas,Dallas,2014
Arkansas,Hot Spring,2014
Arkansas,Marion,2018
Arkansas,Monroe,2018
Arkansas,Nevada,2014
Arkansas,Ouachita,2014
Arkansas,Polk,2018
Colorado,Adams,2019
Colorado,Boulder,2013
Colorado,Broomfield,2019
Colorado,Jefferson,2020
Colorado,Larimer,2019
Connecticut,Fairfield,2013
Connecticut,Hartford,2013
Connecticut,Litchfield,2013
Connecticut,Middlesex,2014
Connecticut,New Haven,2012
Connecticut,New London,2014
Delaware,Kent,2020
Delaware,Sussex,2018
District of Columbia,District of Columbia,2011
Georgia,Banks,2020
Georgia,Barrow,2015
Georgia,Bartow,2016
Georgia,Butts,2020
Georgia,Carroll,2014
Georgia,Catoosa,2019
Georgia,Chattooga,2019
Georgia,Cherokee,2015
Georgia,Clayton,2014
Georgia,Cobb,2014
Georgia,Dade,2019
Georgia,Dawson,2018
Georgia,DeKalb,2013
Georgia,Douglas,2015
Georgia,Fannin,2015
Georgia,Fayette,2014
Georgia,Floyd,2020
Georgia,Fulton,2013
Georgia,Gilmer,2016
Georgia,Gordon,2019
Georgia,Habersham,2015
Georgia,Henry,2014
Georgia,Jackson,2019
Georgia,Lumpkin,2018
Georgia,Murray,2015
Georgia,Newton,2014
Georgia,Paulding,2019
Georgia,Pickens,2020
Georgia,Rabun,2016
Georgia,Rockdale,2014
Georgia,Spalding,2019
Georgia,Union,2016
Georgia,Walker,2018
Georgia,Walton,2014
Georgia,White,2015
Georgia,Whitfield,2014
Illinois,Boone,2010
Illinois,Bureau,2008
Illinois,Carroll,2014
Illinois,Champaign,2010
Illinois,Coles,2014
Illinois,Cook,2006
Illinois,De Witt,2011
Illinois,DeKalb,2009
Illinois,Douglas,2014
Illinois,DuPage,2007
Illinois,Edgar,2014
Illinois,Effingham,2011
Illinois,Ford,2014
Illinois,Grundy,2010
Illinois,Hardin,2018
Illinois,Henry,2012
Illinois,Iroquois,2010
Illinois,Jo Daviess,2013
Illinois,Johnson,2018
Illinois,Kane,2006
Illinois,Kankakee,2011
Illinois,Kendall,2008
Illinois,Knox,2012
Illinois,La Salle,2007
Illinois,Lake,2008
Illinois,Lee,2012
Illinois,Livingston,2011
Illinois,Logan,2014
Illinois,Macon,2012
Illinois,Marion,2011
Illinois,Marshall,2014
Illinois,McHenry,2008
Illinois,McLean,2008
Illinois,Menard,2014
Illinois,Ogle,2010
Illinois,Peoria,2014
Illinois,Perry,2014
Illinois,Piatt,2014
Illinois,Pope,2018
Illinois,Putnam,2013
Illinois,Rock Island,2013
Illinois,Sangamon,2014
Illinois,Shelby,2014
Illinois,St. Clair,2020
Illinois,Stark,2011
Illinois,Stephenson,2014
Illinois,Tazewell,2014
Illinois,Union,2020
Illinois,Vermilion,2014
Illinois,Warren,2014
Illinois,Whiteside,2013
Illinois,Will,2008
Illinois,Williamson,2014
Illinois,Winnebago,2010
Illinois,Woodford,2014
Indiana,Adams,2005
Indiana,Allen,2006
Indiana,Bartholomew,2014
Indiana,Blackford,2009
Indiana,Boone,2011
Indiana,Brown,2008
Indiana,Carroll,2010
Indiana,Cass,2010
Indiana,Clark,2011
Indiana,Clay,2011
Indiana,Clinton,2011
Indiana,Crawford,2013
Indiana,Daviess,2013
Indiana,Dearborn,2011
Indiana,DeKalb,2006
Indiana,Delaware,2009
Indiana,Dubois,2009
Indiana,Elkhart,2007
Indiana,Fayette,2013
Indiana,Floyd,2008
Indiana,Franklin,2012
Indiana,Fulton,2011
Indiana,Grant,2009
Indiana,Greene,2013
Indiana,Hamilton,2006
Indiana,Hancock,2011
Indiana,Harrison,2019
Indiana,Hendricks,2010
Indiana,Henry,2012
Indiana,Howard,2011
Indiana,Huntington,2006
Indiana,Jackson,2013
Indiana,Jasper,2011
Indiana,Jay,2009
Indiana,Jefferson,2014
Indiana,Jennings,2014
Indiana,Johnson,2011
Indiana,Kosciusko,2008
Indiana,LaGrange,2004
Indiana,Lake,2011
Indiana,LaPorte,2010
Indiana,Lawrence,2009
Indiana,Madison,2010
Indiana,Marion,2006
Indiana,Marshall,2010
Indiana,Martin,2013
Indiana,Miami,2009
Indiana,Monroe,2008
Indiana,Montgomery,2015
Indiana,Morgan,2014
Indiana,Newton,2012
Indiana,Noble,2007
Indiana,Ohio,2015
Indiana,Orange,2009
Indiana,Owen,2014
Indiana,Perry,2013
Indiana,Pike,2014
Indiana,Porter,2006
